"motor:","AeroTech M2400T"
"contributor:","John Coker"
"details:","https://www.thrustcurve.org/simfiles/5f4294d20002e90000000093/"

"Time (s)","Thrust (N)"
0.07,2441.945
0.211,2495.46
0.353,2556.133
0.495,2601.596
0.636,2637.66
0.778,2660.804
0.92,2676.486
1.061,2687.081
1.203,2695.807
1.345,2694.493
1.486,2684.268
1.628,2667.289
1.771,2629.961
1.914,2578.923
2.055,2522.074
2.197,2461.704
2.339,2393.518
2.48,2303.939
2.622,2201.61
2.764,2097.461
2.905,2010.409
3.047,1275.776
3.189,418.836
3.33,17.586
3.473,3.669
3.616,0
